train_returns_Average,train_returns_Std,train_returns_Median,train_returns_Min,train_returns_Max,train_ep_lens_Average,train_ep_lens_Std,train_ep_lens_Median,train_ep_lens_Min,train_ep_lens_Max,learning_rate,value_loss,policy_loss,entropy,old_approx_kl,approx_kl,clipfrac,explained_variance,SPS,TimeSinceStart,VectorizedStep,GlobalStep,SingleStep
-0.32848457,0.24934305,-0.25883558,-1.1640205,0.03352229,275.435,239.6018067022868,201.0,30,1000,0.0003,0.005454381927847862,-0.011754686012864113,22.698101043701172,0.006321815773844719,0.006562110036611557,0.05789794921875,-12.007095336914062,1576,41.56881523132324,65536,65536,2048
-0.34460175,0.26005837,-0.2777686,-1.2723942,-0.016091999,314.36036036036035,266.39651719691255,243.5,26,1000,0.0002980263157894737,0.0002827563148457557,-0.019521404057741165,22.69362449645996,0.009263578802347183,0.008995858021080494,0.08676910400390625,-0.9926722049713135,1634,80.16994547843933,131072,131072,4096
-0.3303707,0.25538355,-0.26935545,-1.2851775,0.055718865,290.0,256.66738551867246,206.5,29,1000,0.00029605263157894733,0.00015853664081078023,-0.023645684123039246,22.674484252929688,0.00047490326687693596,0.007311769761145115,0.09667510986328125,0.21495163440704346,1653,118.92331981658936,196608,196608,6144
-0.26504114,0.23371865,-0.18669443,-1.2960334,0.08704011,246.99603174603175,220.7403397734555,163.5,18,1000,0.00029407894736842104,0.00014552584616467357,-0.018814673647284508,22.650684356689453,0.004081605933606625,0.008880697190761566,0.1086090087890625,0.29369497299194336,1638,159.9803431034088,262144,262144,8192
-0.24287584,0.23192279,-0.1624841,-1.2650331,0.09202788,240.61092150170649,232.4969201972332,142.0,23,1000,0.0002921052631578947,0.00015983748016878963,-0.023753264918923378,22.607086181640625,0.012183794751763344,0.010531831532716751,0.1212066650390625,0.23811137676239014,1619,202.3725311756134,327680,327680,10240
-0.15383375,0.20144399,-0.09504926,-1.179023,0.119558655,187.31988472622479,190.85640069248214,120.0,23,1000,0.0002901315789473684,0.00017554516671225429,-0.02502371184527874,22.58208656311035,0.011910073459148407,0.00950111448764801,0.12292633056640626,0.13885146379470825,1623,242.18853282928467,393216,393216,12288
-0.08652899,0.13913654,-0.05433579,-0.880548,0.15323532,138.908203125,146.24380786535457,93.5,16,1000,0.00028815789473684206,0.00019828285439871252,-0.022846726700663567,22.544876098632812,0.010538563132286072,0.011203271336853504,0.1337432861328125,0.16040003299713135,1613,284.2831885814667,458752,458752,14336
-0.033875477,0.10700347,-0.0092319455,-0.8388752,0.19858675,104.07142857142857,97.37686392628339,77.0,19,895,0.00028618421052631576,0.00019218871602788568,-0.026616312563419342,22.53142547607422,0.010299371555447578,0.010840450413525105,0.1478363037109375,0.19478970766067505,1604,326.86232686042786,524288,524288,16384
0.00019405202,0.064932555,0.00847345,-0.49130243,0.16404553,76.664,54.12570781853244,62.0,16,583,0.00028421052631578947,0.00017803438822738826,-0.03118395060300827,22.509910583496094,0.013614177703857422,0.011469362303614616,0.16111297607421876,0.259238600730896,1564,377.0470929145813,589824,589824,18432
0.020060146,0.051026367,0.025708083,-0.73977524,0.16617547,61.76356945722171,40.227643826470285,52.0,19,744,0.0002822368421052631,0.00012605090159922838,-0.02907036617398262,22.47356414794922,0.02187545970082283,0.011395657435059547,0.15361328125,0.13837546110153198,1544,424.22210717201233,655360,655360,20480
0.029269002,0.03675543,0.032448143,-0.16284752,0.15723316,52.73343974461293,27.151153396971456,46.0,18,378,0.00028026315789473683,8.991111826617271e-05,-0.0233700480312109,22.42828941345215,0.01192924752831459,0.011892120353877544,0.14257659912109374,-0.028230786323547363,1535,469.6159965991974,720896,720896,22528
0.0353424,0.03100645,0.03687354,-0.16945821,0.15036148,47.81903388608507,20.34432471992114,43.0,19,247,0.0002782894736842105,7.623851706739515e-05,-0.025947105139493942,22.36187171936035,0.00923459418118,0.009679242968559265,0.1401397705078125,-0.06071829795837402,1520,517.2150502204895,786432,786432,24576
0.042090435,0.027945604,0.04385155,-0.08401196,0.1303716,47.346456692913385,18.70496385567892,43.0,17,150,0.0002763157894736842,6.295467028394341e-05,-0.027724873274564743,22.304025650024414,0.008613349869847298,0.009726529940962791,0.13208770751953125,0.08605998754501343,1513,562.9311299324036,851968,851968,26624
0.048096936,0.026536152,0.048361972,-0.056269605,0.16633524,48.40905770635501,20.693649274485836,43.0,19,216,0.0002743421052631579,5.629446968669072e-05,-0.026237135753035545,22.239377975463867,0.015713747590780258,0.011095119640231133,0.12614593505859376,0.28169894218444824,1503,610.177134513855,917504,917504,28672
0.05350366,0.025551662,0.053568464,-0.034713607,0.18588671,51.595794392523366,24.302148176424204,46.0,18,260,0.00027236842105263155,6.103827035985887e-05,-0.025183402001857758,22.167991638183594,0.013593277893960476,0.010480163618922234,0.12471466064453125,0.4143463969230652,1500,655.0591344833374,983040,983040,30720
0.056691136,0.025826292,0.05579275,-0.069779485,0.1874158,53.76753670473083,27.725506480366803,47.0,15,365,0.0002703947368421052,5.0604212447069585e-05,-0.02286168932914734,22.107345581054688,0.008451279252767563,0.009959599003195763,0.11923828125,0.5506660640239716,1492,702.4471139907837,1048576,1048576,32768
0.06302919,0.02632428,0.06273447,-0.02800554,0.20713337,61.13488372093023,34.35190583197393,51.0,15,413,0.0002684210526315789,4.663438448915258e-05,-0.02337418869137764,22.03498077392578,0.006346940994262695,0.011186684481799603,0.1276397705078125,0.6604500710964203,1481,751.8721861839294,1114112,1114112,34816
0.06691536,0.027338834,0.06531814,-0.044758137,0.18187481,68.91815320041972,47.041514740452556,54.0,17,511,0.0002664473684210526,4.774775152327493e-05,-0.023229649290442467,21.959697723388672,0.011770219542086124,0.009431152604520321,0.1189971923828125,0.719073623418808,1479,797.1920154094696,1179648,1179648,36864
0.072641246,0.029061148,0.070339926,-0.025412703,0.1917678,77.81839622641509,52.10004926367121,62.0,16,459,0.0002644736842105263,4.473595254239626e-05,-0.025232350453734398,21.89293670654297,0.00737749133259058,0.011490918695926666,0.1177581787109375,0.7657644301652908,1478,842.0034687519073,1245184,1245184,38912
0.07752176,0.028401176,0.0764511,-0.04537938,0.17976922,86.91078561917443,71.9706537197825,64.0,22,1000,0.0002625,4.09205567848403e-05,-0.0288776233792305,21.832637786865234,0.009570706635713577,0.011019887402653694,0.12100067138671874,0.8012137860059738,1475,888.3658084869385,1310720,1310720,40960
0.083026074,0.030135445,0.081542686,-0.0021323103,0.19736226,98.48952095808383,78.45316813735748,72.0,20,773,0.0002605263157894737,3.818793629761785e-05,-0.026260700076818466,21.781280517578125,0.011448567733168602,0.010153848677873611,0.11417388916015625,0.8136831969022751,1473,933.9400386810303,1376256,1376256,43008
0.08795551,0.03153557,0.08535183,-0.020698631,0.18522958,106.64667747163695,86.748028115869,81.0,22,741,0.00025855263157894734,3.6472283682087436e-05,-0.023432303220033646,21.72121810913086,0.011540036648511887,0.011461506597697735,0.11869659423828124,0.8290964066982269,1474,977.5855660438538,1441792,1441792,45056
0.096363544,0.03629853,0.093718976,0.014851968,0.3576196,115.8363309352518,82.02903620537406,94.0,23,629,0.00025657894736842105,4.037677717860788e-05,-0.026589304208755493,21.667388916015625,0.012654902413487434,0.00984589010477066,0.11675872802734374,0.8137795180082321,1476,1021.0200612545013,1507328,1507328,47104
0.107338876,0.043964755,0.10115879,-0.006923954,0.39540744,136.58811475409837,112.51695874970099,99.0,24,841,0.0002546052631578947,5.22258851560764e-05,-0.02166134864091873,21.618240356445312,0.010707041248679161,0.01061244122684002,0.11187744140625,0.8032720685005188,1476,1065.3418176174164,1572864,1572864,49152
0.119383365,0.055596694,0.11335127,-0.006553866,0.42669964,167.64659685863873,145.34999545757856,120.5,26,1000,0.00025263157894736836,4.27597806265112e-05,-0.020117513835430145,21.57225799560547,0.004593465477228165,0.010786423459649086,0.11845855712890625,0.7850232869386673,1473,1111.6243026256561,1638400,1638400,51200
0.13403212,0.062362228,0.1232956,-0.001642128,0.4875233,185.43909348441926,143.62027897905793,141.0,29,805,0.00025065789473684207,4.6665787522215396e-05,-0.022056084126234055,21.52092170715332,0.009937192313373089,0.010335597209632397,0.11382904052734374,0.7560175508260727,1478,1152.1278085708618,1703936,1703936,53248
0.13460168,0.06278487,0.12577896,-0.04781079,0.36863828,180.61772853185596,155.71247427276953,131.0,31,1000,0.0002486842105263158,5.122763104736805e-05,-0.018807649612426758,21.459640502929688,0.013674261048436165,0.010541757568717003,0.11965179443359375,0.737240731716156,1480,1195.4691574573517,1769472,1769472,55296
0.15324219,0.071645916,0.14344545,0.0075865793,0.5052833,200.17073170731706,155.27108904939954,152.5,26,1000,0.0002467105263157895,4.870396151090972e-05,-0.022023439407348633,21.406911849975586,0.008992230519652367,0.01009419560432434,0.12216339111328126,0.737750381231308,1481,1238.3651413917542,1835008,1835008,57344
0.16535527,0.09559447,0.14635189,-0.22090733,0.5207209,235.04982206405694,208.95673156715512,162.0,27,1000,0.00024473684210526314,5.181425513001159e-05,-0.020525122061371803,21.369617462158203,0.010589411482214928,0.009976917877793312,0.11270599365234375,0.6752627789974213,1487,1278.0853731632233,1900544,1900544,59392
0.17403206,0.09647097,0.15265547,-0.007871905,0.7367284,238.50936329588015,189.75520132313272,176.0,28,1000,0.00024276315789473682,5.054874054621905e-05,-0.023624077439308167,21.33407974243164,0.00661679869517684,0.010790491476655006,0.12080841064453125,0.6589624881744385,1488,1320.5083136558533,1966080,1966080,61440
0.19442911,0.11938519,0.1716335,-0.06491525,0.7851213,285.88,249.5634567266076,193.0,30,1000,0.0002407894736842105,5.625231278827414e-05,-0.023021282628178596,21.29117774963379,0.009820153936743736,0.010301879607141018,0.11601104736328124,0.6418384611606598,1490,1362.6717729568481,2031616,2031616,63488
0.24847609,0.1578015,0.2048387,0.0060208715,0.87044114,346.43548387096774,282.208434807287,253.5,29,1000,0.00023881578947368418,5.2581301133614033e-05,-0.025162050500512123,21.244129180908203,0.007725502364337444,0.010409153066575527,0.11664276123046875,0.5991211235523224,1494,1403.0985777378082,2097152,2097152,65536
0.24884261,0.16364267,0.20706895,-0.047342543,0.8354247,402.9415584415584,301.4757046275672,329.0,37,1000,0.00023684210526315788,5.219826925895177e-05,-0.024959765374660492,21.212265014648438,0.012708643451333046,0.011391811072826385,0.11640167236328125,0.5378332436084747,1498,1443.1781468391418,2162688,2162688,67584
0.28213754,0.19097635,0.22881094,-0.06351262,0.9493309,415.8452380952381,310.4935393104255,295.5,36,1000,0.00023486842105263156,5.853823677171022e-05,-0.02445727027952671,21.168827056884766,0.007657469250261784,0.010170132853090763,0.11187896728515626,0.5252292454242706,1500,1484.786419391632,2228224,2228224,69632
0.29450113,0.19547409,0.24286616,-0.36457336,0.9348273,421.24675324675326,291.77874359989164,347.0,35,1000,0.00023289473684210524,5.013441841583699e-05,-0.02343010902404785,21.142044067382812,0.00676153926178813,0.010289999656379223,0.11561737060546876,0.5513122975826263,1504,1524.5315623283386,2293760,2293760,71680
0.2916638,0.18419574,0.25320482,-0.13230193,0.93280274,457.1777777777778,297.72517445821217,393.0,48,1000,0.00023092105263157893,5.72961253055837e-05,-0.018763311207294464,21.10158348083496,0.015232859179377556,0.010176693089306355,0.11992950439453125,0.5291835367679596,1505,1567.035984992981,2359296,2359296,73728
0.35326692,0.22816326,0.29913816,-0.15839942,0.9977841,482.57664233576645,330.83894073989234,402.0,52,1000,0.00022894736842105263,5.274575232760981e-05,-0.02464286983013153,21.06336784362793,0.008442224934697151,0.009632792323827744,0.1183349609375,0.5525291264057159,1508,1607.9214725494385,2424832,2424832,75776
0.384554,0.23116529,0.3615446,-0.0017769601,1.2057552,586.5826086956522,333.30038632385276,570.0,52,1000,0.00022697368421052629,5.8921315940096974e-05,-0.025307783856987953,21.030479431152344,0.010077576152980328,0.010146988555788994,0.12186126708984375,0.5286973416805267,1512,1646.7966439723969,2490368,2490368,77824
0.43501368,0.25598934,0.4042933,-0.3322216,1.0256419,581.1160714285714,331.93170407522183,616.5,49,1000,0.000225,5.972794315312058e-05,-0.0225357785820961,21.013858795166016,0.01139251608401537,0.011356934905052185,0.12368316650390625,0.5422336161136627,1514,1687.4138689041138,2555904,2555904,79872
0.4465787,0.26743665,0.4052344,0.061590202,1.1637021,637.4174757281553,346.09823860077654,715.0,42,1000,0.00022302631578947367,6.581688649021089e-05,-0.025855593383312225,20.99325942993164,0.00870908796787262,0.009948106482625008,0.117034912109375,0.5474159121513367,1507,1738.944804430008,2621440,2621440,81920
0.43254834,0.26187798,0.39598542,-0.22753264,1.2288947,619.847619047619,357.77497000348933,625.0,57,1000,0.00022105263157894738,7.350459054578096e-05,-0.027303077280521393,20.982643127441406,0.007851236499845982,0.010592248290777206,0.1201934814453125,0.5030282139778137,1510,1779.239594221115,2686976,2686976,83968
0.4097016,0.28546277,0.38824412,-0.35738438,1.0400105,677.639175257732,337.3511183055426,821.0,69,1000,0.00021907894736842104,8.739697659621015e-05,-0.0247799102216959,20.952041625976562,0.008878324180841446,0.009971101768314838,0.1189483642578125,0.4004897475242615,1512,1819.8651525974274,2752512,2752512,86016
0.49474683,0.311283,0.48739484,-0.42820665,1.1174332,696.1195652173913,332.447146580289,839.5,29,1000,0.0002171052631578947,7.178355735959485e-05,-0.026858774945139885,20.93062973022461,0.006916136015206575,0.010498829185962677,0.12112884521484375,0.4732150435447693,1513,1862.005289554596,2818048,2818048,88064
0.49888763,0.2954012,0.4411553,-0.19002807,1.206392,633.8640776699029,345.2560903632073,615.0,37,1000,0.0002151315789473684,7.726745388936251e-05,-0.02523399516940117,20.901206970214844,0.01447145827114582,0.011362651363015175,0.1205474853515625,0.47977203130722046,1516,1901.0156862735748,2883584,2883584,90112
0.5429988,0.3241937,0.5417804,-0.4371198,1.1830314,654.6990291262136,341.1040849875209,686.0,33,1000,0.00021315789473684208,8.76070698723197e-05,-0.024892378598451614,20.89413070678711,0.002670148853212595,0.009590988047420979,0.12100677490234375,0.45021116733551025,1519,1941.1072671413422,2949120,2949120,92160
0.49434885,0.3222737,0.4720052,-0.23402803,1.2379025,651.3235294117648,343.0376747663613,736.5,44,1000,0.00021118421052631578,7.41756011848338e-05,-0.017905231565237045,20.894804000854492,0.011569110676646233,0.010559193789958954,0.125921630859375,0.5058856010437012,1520,1982.1152257919312,3014656,3014656,94208
0.49098217,0.32284796,0.4359106,-0.22221093,1.1220251,613.3883495145631,356.617666225702,634.0,46,1000,0.00020921052631578946,9.153659630101174e-05,-0.022260576486587524,20.85035514831543,0.001541058998554945,0.01119352038949728,0.1254425048828125,0.4709632992744446,1522,2023.4555370807648,3080192,3080192,96256
0.5606954,0.31154191,0.5697961,-0.29506674,1.2740812,749.3908045977012,300.72652854863975,885.0,37,1000,0.00020723684210526315,8.639083534944803e-05,-0.02252180501818657,20.825864791870117,0.014854300767183304,0.010701123625040054,0.118780517578125,0.4773949384689331,1524,2063.6895427703857,3145728,3145728,98304
0.4816294,0.35471943,0.47718632,-0.47085536,1.3119915,707.8924731182796,320.3524088520711,863.0,62,1000,0.00020526315789473683,9.649708226788789e-05,-0.019239112734794617,20.813060760498047,0.013615090399980545,0.010929010808467865,0.1191192626953125,0.4572237730026245,1524,2106.0009989738464,3211264,3211264,100352
0.647492,0.31619576,0.656801,-0.29698843,1.3217915,789.560975609756,285.3536999704981,998.5,47,1000,0.00020328947368421048,8.845546108204871e-05,-0.02086227759718895,20.7822265625,0.00851314328610897,0.010479236021637917,0.12280426025390626,0.4737645983695984,1526,2146.6668915748596,3276800,3276800,102400
0.60887223,0.37668684,0.6568612,-0.5389683,1.332047,769.7558139534884,317.3917297924074,1000.0,109,1000,0.0002013157894736842,9.655795292928815e-05,-0.024437695741653442,20.757816314697266,0.011107253842055798,0.01106049120426178,0.1218719482421875,0.47154128551483154,1529,2185.846831560135,3342336,3342336,104448
0.65829194,0.42599425,0.664128,-0.7810013,1.4640424,749.2528735632184,328.58534182090153,966.0,62,1000,0.0001993421052631579,9.213286102749407e-05,-0.026615817099809647,20.740856170654297,0.007995059713721275,0.010745007544755936,0.12491302490234375,0.47689223289489746,1529,2227.4631271362305,3407872,3407872,106496
0.71159685,0.41753656,0.788011,-0.3965562,1.3858808,786.035294117647,320.7864397551677,1000.0,64,1000,0.00019736842105263157,9.148589742835611e-05,-0.02378246560692787,20.719327926635742,0.006619126070290804,0.011350329965353012,0.12373504638671876,0.41351133584976196,1529,2270.3698472976685,3473408,3473408,108544
0.71924746,0.37988323,0.7454019,-0.3216968,1.3206164,775.320987654321,306.2760727993535,1000.0,62,1000,0.00019539473684210528,9.99161129584536e-05,-0.024326223880052567,20.724517822265625,0.009491972625255585,0.01069145742803812,0.1255584716796875,0.4150758981704712,1531,2310.0596673488617,3538944,3538944,110592
0.75146645,0.36386016,0.7154169,-0.084891416,1.4151814,814.0,280.3667893766411,1000.0,79,1000,0.00019342105263157894,0.00010437730816192925,-0.01820593699812889,20.724998474121094,0.01389131136238575,0.012401157058775425,0.1220367431640625,0.4214996099472046,1533,2350.4711253643036,3604480,3604480,112640
0.6862599,0.4026754,0.690273,-0.4208705,1.5245839,787.0,325.0060036968923,1000.0,66,1000,0.0001914473684210526,0.00010381937318015844,-0.023449862375855446,20.715911865234375,0.009207887575030327,0.010993230156600475,0.1189697265625,0.4130287170410156,1535,2390.5834522247314,3670016,3670016,114688
0.706346,0.52033854,0.75918216,-0.9828824,1.558121,825.8170731707318,293.91890071295467,1000.0,30,1000,0.0001894736842105263,0.00014004101103637367,-0.021647291257977486,20.70339584350586,0.00875789299607277,0.010769867338240147,0.1200286865234375,0.3473622798919678,1537,2429.6740097999573,3735552,3735552,116736
0.7970545,0.45547214,0.8638599,-0.17358336,1.5099256,801.8072289156627,306.45019477144024,1000.0,44,1000,0.00018749999999999998,0.00010801728058140725,-0.026441657915711403,20.685791015625,0.008906876668334007,0.011044011451303959,0.12011566162109374,0.41545677185058594,1538,2471.4312307834625,3801088,3801088,118784
0.7516433,0.47325698,0.7477242,-0.646621,1.7299166,815.85,300.1817824252498,1000.0,35,1000,0.00018552631578947368,0.0001291637890972197,-0.017105644568800926,20.66606903076172,0.01222909614443779,0.010390224866569042,0.1224639892578125,0.3239707946777344,1539,2511.70250415802,3866624,3866624,120832
0.8641781,0.44978282,0.9167328,-0.24289544,1.5815483,858.8717948717949,249.720272170034,1000.0,121,1000,0.00018355263157894736,0.0001189598988275975,-0.02605798840522766,20.65654754638672,0.009562881663441658,0.010965636931359768,0.12154693603515625,0.3271980285644531,1539,2553.384643316269,3932160,3932160,122880
0.798947,0.4598008,0.8228027,-0.44077107,1.8094444,795.1975308641976,310.0857874031941,1000.0,95,1000,0.00018157894736842105,0.0001188306778203696,-0.021535616368055344,20.630170822143555,0.01307588815689087,0.01067024189978838,0.124334716796875,0.3382096290588379,1540,2594.2774846553802,3997696,3997696,124928
0.8000233,0.50248873,0.89951897,-0.62012553,1.6008209,841.961038961039,290.49856121236303,1000.0,57,1000,0.0001796052631578947,0.0001362995244562626,-0.021089039742946625,20.592086791992188,0.010980872437357903,0.010013993829488754,0.11593780517578126,0.25907522439956665,1541,2636.128179550171,4063232,4063232,126976
0.9135969,0.44301626,0.9548267,-0.32619697,1.5849105,851.7368421052631,260.09959471128565,1000.0,129,1000,0.00017763157894736838,0.00012393285578582436,-0.02416936494410038,20.569557189941406,0.006587966810911894,0.010996734723448753,0.123492431640625,0.2859598398208618,1543,2675.477811574936,4128768,4128768,129024
0.88080716,0.48611814,1.0193516,-0.9436142,1.6062864,881.8933333333333,229.44690443663774,1000.0,221,1000,0.0001756578947368421,0.000134371206513606,-0.03229580074548721,20.525814056396484,0.00951584242284298,0.010759584605693817,0.12075653076171874,0.2838916778564453,1544,2716.1305677890778,4194304,4194304,131072
0.7983465,0.5138998,0.85192394,-0.97649145,1.7054347,865.2972972972973,247.11446793533898,1000.0,144,1000,0.0001736842105263158,0.00014708834351040423,-0.026468083262443542,20.519376754760742,0.008368577808141708,0.011299442499876022,0.12177581787109375,0.22734475135803223,1545,2756.871273994446,4259840,4259840,133120
0.8339949,0.56541103,0.9552649,-1.1758916,1.6512583,865.0266666666666,238.00011055086136,1000.0,47,1000,0.00017171052631578947,0.00016595196211710572,-0.023774370551109314,20.504276275634766,0.013244766741991043,0.010969099588692188,0.11758270263671874,0.1988210678100586,1546,2796.908201932907,4325376,4325376,135168
0.92652565,0.5314996,0.9834522,-0.75206375,1.6267382,883.1866666666666,229.48967694042844,1000.0,108,1000,0.00016973684210526313,0.00015515121049247682,-0.02324603497982025,20.473695755004883,0.012556277215480804,0.01021401397883892,0.11979217529296875,0.15216749906539917,1548,2836.1865844726562,4390912,4390912,137216
0.88520813,0.598244,1.0224851,-1.509963,1.7430376,842.4430379746835,300.4560140446199,1000.0,70,1000,0.00016776315789473684,0.00013171337195672095,-0.016836252063512802,20.45276641845703,0.015794159844517708,0.01035025529563427,0.118756103515625,0.1987457275390625,1548,2876.9863777160645,4456448,4456448,139264
0.8676983,0.544217,0.9399442,-0.8752877,1.7138937,809.4683544303797,297.0340659593274,1000.0,79,1000,0.0001657894736842105,0.0001611556945135817,-0.021446911618113518,20.444496154785156,0.011282860301434994,0.011469321325421333,0.12120361328125,0.15140771865844727,1549,2917.507871866226,4521984,4521984,141312
0.8441615,0.51804376,0.95695716,-0.36015105,1.7317141,837.5384615384615,274.0421403261845,1000.0,48,1000,0.0001638157894736842,0.00014876523346174508,-0.0246050413697958,20.433801651000977,0.008905451744794846,0.0105598084628582,0.11925811767578125,0.1463381052017212,1550,2958.2217597961426,4587520,4587520,143360
0.8407365,0.5695186,0.78883743,-1.0462445,1.7987132,785.3253012048193,295.81226171192793,1000.0,90,1000,0.00016184210526315788,0.00018373358761891723,-0.023407429456710815,20.420686721801758,0.012176403775811195,0.011934877373278141,0.11996917724609375,0.13608485460281372,1550,3000.225487947464,4653056,4653056,145408
0.7337876,0.64374423,0.87783873,-0.6361781,1.850036,797.1785714285714,299.1084434939739,1000.0,98,1000,0.00015986842105263158,0.00019588434952311218,-0.027712443843483925,20.392803192138672,0.009921781718730927,0.01097172312438488,0.11412200927734376,0.20453399419784546,1552,3039.678692817688,4718592,4718592,147456
0.94441146,0.64334416,1.1564189,-1.079842,1.7822465,871.7402597402597,267.5593102156032,1000.0,48,1000,0.00015789473684210527,0.0002039026003330946,-0.027458060532808304,20.37240219116211,0.00553767429664731,0.01039351150393486,0.1120513916015625,0.22391808032989502,1553,3079.4503252506256,4784128,4784128,149504
0.74244666,0.5863564,0.68318504,-1.0660616,1.796923,736.9775280898876,349.9417600831165,1000.0,25,1000,0.00015592105263157895,0.00017239227599930018,-0.025040410459041595,20.349124908447266,0.009266035631299019,0.01122964732348919,0.11965179443359375,0.21339750289916992,1554,3120.617559671402,4849664,4849664,151552
